Agriculture and Mining,t
Farming and Ranching,f
"Fishing, Hunting and Forestry and Logging",f
Mining and Quarrying,f
Agriculture & Mining Other,f
Business Services,t
Accounting and Tax Preparation,f
"Advertising, Marketing and PR",f
Data and Records Management,f
Facilities Management and Maintenance,f
HR and Recruiting Services,f
Legal Services,f
Management Consulting,f
Payroll Services,f
Sales Services,f
Security Services,f
Business Services Other,f
Computer and Electronics,t
"Audio, Video and Photography",f
"Computers, Parts and Repair",f
"Consumer Electronics, Parts and Repair",f
IT and Network Services and Support,f
Instruments and Controls,f
Network Security Products,f
Networking equipment and Systems,f
Office Machinery and Equipment,f
Peripherals Manufacturing,f
Semiconductor and Microchip Manufacturing,f
Computer and Electronics Other,f
Consumer Services,t
Automotive Repair and Maintenance,f
Funeral Homes and Services,f
Laundry and Dry Cleaning,f
Parking Lots and Garage Management,f
Personal Care,f
Photofinishing Services,f
Consumer Services Other,f
Education,t
Colleges and Universities,f
Elementary and Secondary Schools,f
"Libraries, Archives and Museums",f
"Sports, Arts, and Recreation Instruction",f
Technical and Trade Schools,f
Test Preparation,f
Education Other,f
Energy and Utilities,t
Alternative Energy Sources,f
Gas and Electric Utilities,f
Gasoline and Oil Refineries,f
Sewage Treatment Facilities,f
Waste Management and Recycling,f
Water Treatment and Utilities,f
Energy and Utilities Other,f
Financial Services,t
Banks,f
Credit Cards and Related Services,f
Credit Unions,f
Insurance and Risk Management,f
Investment Banking and Venture Capital,f
Lending and Mortgage,f
Personal Financial Planning and Private Banking,f
Securities Agents and Brokers,f
"Trust, Fiduciary, and Custody Activities",f
Financial Services Other,f
Government,t
International Bodies and Organizations,f
Local Government,f
National Government,f
State/Provincial Government,f
Government Other,f
"Health, Pharmaceuticals, and Biotech",t
Biotechnology,f
Diagnostic Laboratories,f
Doctors and Health Care Practitioners,f
Hospitals,f
Medical Devices,f
Medical Supplies and Equipment,f
Outpatient Care Centers,f
Personal Health Care Products,f
Pharmaceuticals,f
Residential and Long-term Care Facilities,f
Veterinary Clinics and Services,f
"Health, Pharmaceuticals, and Biotech Other",f
Manufacturing,t
Aerospace and Defense,f
Alcoholic Beverages,f
"Automobiles, Boats and Motor Vehicles",f
Chemicals and Petrochemicals,f
"Concrete, Glass and Building Materials",f
Farming and Mining Machinery and Equipment,f
Food and Dairy Product Manufacturing and Packaging,f
Furniture Manufacturing,f
Metals Manufacturing,f
Nonalcoholic Beverages,f
Paper and Paper Products,f
Plastics and Rubber Manufacturing,f
"Textiles, Apparel and Accessories",f
"Tools, Hardware and Light Machinery",f
Manufacturing Other,f
Media and Entertainment,t
Adult Entertainment,f
Motion Picture Exhibitors,f
Motion Picture and Recording Producers,f
"Newspapers, Books, and Periodicals",f
Performing Arts,f
"Radio, Television Broadcasting",f
Media and Entertainment Other,f
Non-profit,t
Advocacy Organizations,f
Charitable Organizations and Foundations,f
Professional Associations,f
Religious Organizations,f
Social and Membership Organizations,f
Trade Groups and Labor Unions,f
Non-profit Other,f
Other,t
Other,f
Real Estate and Construction,t
"Architecture, Engineering and Design",f
Construction Equipment and Supplies,f
Construction and Remodeling,f
Property Leasing and Management,f
Real Estate Agents and Appraisers,f
Real Estate Investment and Development,f
Real Estate and Construction Other,f
Retail,t
Automobile Dealers,f
Automobile Parts and Supplies,f
"Beer, Wine and Liquor Stores",f
Clothing and Shoe Stores,f
Department Stores,f
Florist,f
Furniture Stores,f
Gasoline Stations,f
Grocery and Specialty Stores,f
Hardware and Building Material Dealers,f
"Jewelry, Luggage, and Leather Goods",f
Office Supplies Stores,f
Restaurants and Bars,f
"Sporting Goods, Hobby, Books and Music Stores",f
Retail Others,f
Software and Internet,t
"Data Analytics, Management, and Internet",f
E-Commerce and Internet Business,f
Games and Gaming,f
Software,f
Software and Internet Other,f
Telecommunications,t
Cable and Television Providers,f
Telecommunications Equipment and Accessories,f
Telephone Service Providers and Carriers,f
Video and Teleconferencing,f
Wireless and Mobile,f
Telecommunications Other,f
Transportation and Storage,t
Air Couriers and Caro Services,f
"Airport, Harbor, and Terminal Operations",f
Freight Hauling (Rail and Truck),f
Marine and Inland Shipping,f
Moving Companies and Services,f
"Postal, Express Delivery and Couriers",f
Warehousing and Storage,f
Transportation and Storage Other,f
Travel Recreation and Leisure,t
Amusement Parks and Attractions,f
Cruise Ship Operations,f
Gambling and Gaming Lodging,f
Participatory Sports and Recreation,f
Passenger Airlines,f
Rental Cars,f
Resorts and Casinos,f
Spectator Sports and Teams,f
"Taxi, Buses and Transit Systems",f
Travel Agents and Services,f
"Travel, Recreations and Leisure Other",f
Wholesale and Distribution,t
Apparel Wholesalers,f
Automobile Parts Wholesalers,f
"Beer, Wine and Liquor Wholesalers",f
Chemicals and Plastics Wholesalers,f
Grocery and Food Wholesalers,f
Lumber and Construction Materials Wholesalers,f
Metal and Mineral Wholesalers,f
Office Equipment and Suppliers Wholesalers,f
Petroleum Products Wholesalers,f
Wholesale and Distribution Other,f
